height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 755
P.y = 18.788420, Pt.y = 0.000000, Q.y = 18.788420, Qt.y = 0.000000, R.y = 18.788420, Rt.y = 0.000000, S.y = 18.788420, St.y = 0.000000
P.y = 18.755434, Pt.y = 0.000000, Q.y = 18.755434, Qt.y = 0.000000, R.y = 18.755434, Rt.y = 0.000000, S.y = 18.755434, St.y = 0.000000
P.y = 18.722006, Pt.y = 0.000000, Q.y = 18.722006, Qt.y = 0.000000, R.y = 18.722006, Rt.y = 0.000000, S.y = 18.722006, St.y = 0.000000
P.y = 18.688135, Pt.y = 0.000000, Q.y = 18.688135, Qt.y = 0.000000, R.y = 18.688135, Rt.y = 0.000000, S.y = 18.688135, St.y = 0.000000
P.y = 18.653820, Pt.y = 0.000000, Q.y = 18.653820, Qt.y = 0.000000, R.y = 18.653820, Rt.y = 0.000000, S.y = 18.653820, St.y = 0.000000
P.y = 18.619062, Pt.y = 0.000000, Q.y = 18.619062, Qt.y = 0.000000, R.y = 18.619062, Rt.y = 0.000000, S.y = 18.619062, St.y = 0.000000
P.y = 18.583862, Pt.y = 0.000000, Q.y = 18.583862, Qt.y = 0.000000, R.y = 18.583862, Rt.y = 0.000000, S.y = 18.583862, St.y = 0.000000
P.y = 18.548220, Pt.y = 0.000000, Q.y = 18.548220, Qt.y = 0.000000, R.y = 18.548220, Rt.y = 0.000000, S.y = 18.548220, St.y = 0.000000
P.y = 18.512133, Pt.y = 0.000000, Q.y = 18.512133, Qt.y = 0.000000, R.y = 18.512133, Rt.y = 0.000000, S.y = 18.512133, St.y = 0.000000
P.y = 18.475603, Pt.y = 0.000000, Q.y = 18.475603, Qt.y = 0.000000, R.y = 18.475603, Rt.y = 0.000000, S.y = 18.475603, St.y = 0.000000
P.y = 18.438631, Pt.y = 0.000000, Q.y = 18.438631, Qt.y = 0.000000, R.y = 18.438631, Rt.y = 0.000000, S.y = 18.438631, St.y = 0.000000
P.y = 18.401217, Pt.y = 0.000000, Q.y = 18.401217, Qt.y = 0.000000, R.y = 18.401217, Rt.y = 0.000000, S.y = 18.401217, St.y = 0.000000
P.y = 18.363358, Pt.y = 0.000000, Q.y = 18.363358, Qt.y = 0.000000, R.y = 18.363358, Rt.y = 0.000000, S.y = 18.363358, St.y = 0.000000
P.y = 18.325056, Pt.y = 0.000000, Q.y = 18.325056, Qt.y = 0.000000, R.y = 18.325056, Rt.y = 0.000000, S.y = 18.325056, St.y = 0.000000
P.y = 18.286312, Pt.y = 0.000000, Q.y = 18.286312, Qt.y = 0.000000, R.y = 18.286312, Rt.y = 0.000000, S.y = 18.286312, St.y = 0.000000
P.y = 18.247126, Pt.y = 0.000000, Q.y = 18.247126, Qt.y = 0.000000, R.y = 18.247126, Rt.y = 0.000000, S.y = 18.247126, St.y = 0.000000
P.y = 18.207495, Pt.y = 0.000000, Q.y = 18.207495, Qt.y = 0.000000, R.y = 18.207495, Rt.y = 0.000000, S.y = 18.207495, St.y = 0.000000
P.y = 18.167421, Pt.y = 0.000000, Q.y = 18.167421, Qt.y = 0.000000, R.y = 18.167421, Rt.y = 0.000000, S.y = 18.167421, St.y = 0.000000
P.y = 18.126905, Pt.y = 0.000000, Q.y = 18.126905, Qt.y = 0.000000, R.y = 18.126905, Rt.y = 0.000000, S.y = 18.126905, St.y = 0.000000
P.y = 18.085945, Pt.y = 0.000000, Q.y = 18.085945, Qt.y = 0.000000, R.y = 18.085945, Rt.y = 0.000000, S.y = 18.085945, St.y = 0.000000
P.y = 18.044542, Pt.y = 0.000000, Q.y = 18.044542, Qt.y = 0.000000, R.y = 18.044542, Rt.y = 0.000000, S.y = 18.044542, St.y = 0.000000
P.y = 18.002697, Pt.y = 0.000000, Q.y = 18.002697, Qt.y = 0.000000, R.y = 18.002697, Rt.y = 0.000000, S.y = 18.002697, St.y = 0.000000
P.y = 17.960409, Pt.y = 0.000000, Q.y = 17.960409, Qt.y = 0.000000, R.y = 17.960409, Rt.y = 0.000000, S.y = 17.960409, St.y = 0.000000
P.y = 17.917677, Pt.y = 0.000000, Q.y = 17.917677, Qt.y = 0.000000, R.y = 17.917677, Rt.y = 0.000000, S.y = 17.917677, St.y = 0.000000
P.y = 17.874502, Pt.y = 0.000000, Q.y = 17.874502, Qt.y = 0.000000, R.y = 17.874502, Rt.y = 0.000000, S.y = 17.874502, St.y = 0.000000
P.y = 17.830885, Pt.y = 0.000000, Q.y = 17.830885, Qt.y = 0.000000, R.y = 17.830885, Rt.y = 0.000000, S.y = 17.830885, St.y = 0.000000
P.y = 17.786825, Pt.y = 0.000000, Q.y = 17.786825, Qt.y = 0.000000, R.y = 17.786825, Rt.y = 0.000000, S.y = 17.786825, St.y = 0.000000
P.y = 17.742321, Pt.y = 0.000000, Q.y = 17.742321, Qt.y = 0.000000, R.y = 17.742321, Rt.y = 0.000000, S.y = 17.742321, St.y = 0.000000
P.y = 17.697374, Pt.y = 0.000000, Q.y = 17.697374, Qt.y = 0.000000, R.y = 17.697374, Rt.y = 0.000000, S.y = 17.697374, St.y = 0.000000
P.y = 17.651985, Pt.y = 0.000000, Q.y = 17.651985, Qt.y = 0.000000, R.y = 17.651985, Rt.y = 0.000000, S.y = 17.651985, St.y = 0.000000
P.y = 17.606153, Pt.y = 0.000000, Q.y = 17.606153, Qt.y = 0.000000, R.y = 17.606153, Rt.y = 0.000000, S.y = 17.606153, St.y = 0.000000
P.y = 17.560293, Pt.y = 0.000000, Q.y = 17.560293, Qt.y = 0.000000, R.y = 17.560293, Rt.y = 0.000000, S.y = 17.560293, St.y = 0.000000
P.y = 17.513998, Pt.y = 0.000000, Q.y = 17.513998, Qt.y = 0.000000, R.y = 17.513998, Rt.y = 0.000000, S.y = 17.513998, St.y = 0.000000
P.y = 17.467268, Pt.y = 0.000000, Q.y = 17.467268, Qt.y = 0.000000, R.y = 17.467268, Rt.y = 0.000000, S.y = 17.467268, St.y = 0.000000
P.y = 17.420103, Pt.y = 0.000000, Q.y = 17.420103, Qt.y = 0.000000, R.y = 17.420103, Rt.y = 0.000000, S.y = 17.420103, St.y = 0.000000
P.y = 17.372501, Pt.y = 0.000000, Q.y = 17.372501, Qt.y = 0.000000, R.y = 17.372501, Rt.y = 0.000000, S.y = 17.372501, St.y = 0.000000
P.y = 17.324465, Pt.y = 0.000000, Q.y = 17.324465, Qt.y = 0.000000, R.y = 17.324465, Rt.y = 0.000000, S.y = 17.324465, St.y = 0.000000
