height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 349
P.y = 18.691177, Pt.y = 0.000000, Q.y = 18.691177, Qt.y = 0.000000, R.y = 18.691177, Rt.y = 0.000000, S.y = 18.691177, St.y = 0.000000
P.y = 18.631010, Pt.y = 0.000000, Q.y = 18.631010, Qt.y = 0.000000, R.y = 18.631010, Rt.y = 0.000000, S.y = 18.631010, St.y = 0.000000
P.y = 18.569490, Pt.y = 0.000000, Q.y = 18.569490, Qt.y = 0.000000, R.y = 18.569490, Rt.y = 0.000000, S.y = 18.569490, St.y = 0.000000
P.y = 18.506618, Pt.y = 0.000000, Q.y = 18.506618, Qt.y = 0.000000, R.y = 18.506618, Rt.y = 0.000000, S.y = 18.506618, St.y = 0.000000
P.y = 18.442394, Pt.y = 0.000000, Q.y = 18.442394, Qt.y = 0.000000, R.y = 18.442394, Rt.y = 0.000000, S.y = 18.442394, St.y = 0.000000
P.y = 18.376818, Pt.y = 0.000000, Q.y = 18.376818, Qt.y = 0.000000, R.y = 18.376818, Rt.y = 0.000000, S.y = 18.376818, St.y = 0.000000
P.y = 18.334560, Pt.y = 0.000000, Q.y = 18.334560, Qt.y = 0.000000, R.y = 18.334560, Rt.y = 0.000000, S.y = 18.334560, St.y = 0.000000
P.y = 18.291759, Pt.y = 0.000000, Q.y = 18.291759, Qt.y = 0.000000, R.y = 18.291759, Rt.y = 0.000000, S.y = 18.291759, St.y = 0.000000
P.y = 18.248415, Pt.y = 0.000000, Q.y = 18.248415, Qt.y = 0.000000, R.y = 18.248415, Rt.y = 0.000000, S.y = 18.248415, St.y = 0.000000
P.y = 18.204529, Pt.y = 0.000000, Q.y = 18.204529, Qt.y = 0.000000, R.y = 18.204529, Rt.y = 0.000000, S.y = 18.204529, St.y = 0.000000
P.y = 18.160099, Pt.y = 0.000000, Q.y = 18.160099, Qt.y = 0.000000, R.y = 18.160099, Rt.y = 0.000000, S.y = 18.160099, St.y = 0.000000
P.y = 18.115126, Pt.y = 0.000000, Q.y = 18.115126, Qt.y = 0.000000, R.y = 18.115126, Rt.y = 0.000000, S.y = 18.115126, St.y = 0.000000
P.y = 18.069611, Pt.y = 0.000000, Q.y = 18.069611, Qt.y = 0.000000, R.y = 18.069611, Rt.y = 0.000000, S.y = 18.069611, St.y = 0.000000
P.y = 18.023552, Pt.y = 0.000000, Q.y = 18.023552, Qt.y = 0.000000, R.y = 18.023552, Rt.y = 0.000000, S.y = 18.023552, St.y = 0.000000
P.y = 17.976950, Pt.y = 0.000000, Q.y = 17.976950, Qt.y = 0.000000, R.y = 17.976950, Rt.y = 0.000000, S.y = 17.976950, St.y = 0.000000
P.y = 17.929806, Pt.y = 0.000000, Q.y = 17.929806, Qt.y = 0.000000, R.y = 17.929806, Rt.y = 0.000000, S.y = 17.929806, St.y = 0.000000
P.y = 17.882118, Pt.y = 0.000000, Q.y = 17.882118, Qt.y = 0.000000, R.y = 17.882118, Rt.y = 0.000000, S.y = 17.882118, St.y = 0.000000
P.y = 17.833887, Pt.y = 0.000000, Q.y = 17.833887, Qt.y = 0.000000, R.y = 17.833887, Rt.y = 0.000000, S.y = 17.833887, St.y = 0.000000
P.y = 17.785112, Pt.y = 0.000000, Q.y = 17.785112, Qt.y = 0.000000, R.y = 17.785112, Rt.y = 0.000000, S.y = 17.785112, St.y = 0.000000
